
Raum Nummer,Klasse,Von,Bis
Raum 33,3AHITM,10:00,11:00
Raum 41,3AHITM,9:00,10:00
Raum 38,1AHIF,9:00,10:00
Raum 15,3AHIF,10:00,11:00
Raum 20,1AHITM,8:00,9:00
Raum 44,4AHITM,9:00,10:00
Raum 14,2AHITM,8:00,9:00
Raum 40,2AHIF,10:00,11:00
Raum 32,4AHIF,9:00,10:00
Raum 26,3AHITM,10:00,11:00
Raum 19,3AHIF,8:00,9:00
Raum 47,2AHITM,8:00,9:00
Raum 19,2AHIF,8:00,9:00
Raum 31,3AHITM,7:00,8:00
Raum 27,3AHITM,8:00,9:00
Raum 47,3AHIF,8:00,9:00
Raum 29,4AHIF,7:00,8:00
Raum 48,3AHIF,8:00,9:00
Raum 43,3AHITM,8:00,9:00
Raum 38,4AHIF,8:00,9:00
Raum 37,1AHIF,10:00,11:00
Raum 20,4AHIF,8:00,9:00
Raum 34,3AHITM,9:00,10:00
Raum 40,1AHIF,7:00,8:00
Raum 17,2AHIF,9:00,10:00
Raum 12,4AHITM,7:00,8:00
Raum 17,1AHIF,7:00,8:00
Raum 41,3AHITM,9:00,10:00
Raum 47,4AHITM,7:00,8:00
Raum 14,1AHITM,8:00,9:00
Raum 21,2AHITM,8:00,9:00
Raum 16,1AHITM,10:00,11:00
Raum 23,3AHIF,9:00,10:00
Raum 19,4AHIF,7:00,8:00
Raum 33,1AHIF,10:00,11:00
Raum 29,3AHITM,9:00,10:00
Raum 26,3AHIF,10:00,11:00
Raum 10,4AHITM,10:00,11:00
Raum 37,3AHITM,8:00,9:00
Raum 42,1AHIF,7:00,8:00
Raum 20,3AHIF,7:00,8:00
Raum 49,3AHITM,8:00,9:00
Raum 35,4AHIF,7:00,8:00
Raum 45,4AHIF,8:00,9:00
Raum 37,3AHIF,9:00,10:00
Raum 37,3AHIF,7:00,8:00
Raum 36,1AHITM,8:00,9:00
Raum 30,1AHITM,8:00,9:00
Raum 10,4AHIF,8:00,9:00
Raum 27,2AHIF,10:00,11:00
Raum 38,4AHIF,10:00,11:00
Raum 41,2AHITM,10:00,11:00
Raum 42,1AHIF,8:00,9:00
Raum 14,3AHIF,10:00,11:00
Raum 41,4AHIF,10:00,11:00
Raum 36,4AHIF,10:00,11:00
Raum 41,4AHIF,10:00,11:00
Raum 24,2AHITM,7:00,8:00
Raum 17,4AHIF,8:00,9:00
Raum 12,1AHITM,7:00,8:00
Raum 21,4AHITM,8:00,9:00
Raum 13,2AHITM,9:00,10:00
Raum 26,4AHITM,10:00,11:00
Raum 24,4AHIF,8:00,9:00
Raum 19,2AHIF,9:00,10:00
Raum 10,3AHIF,7:00,8:00
Raum 32,3AHIF,10:00,11:00
Raum 20,2AHITM,10:00,11:00
Raum 27,2AHIF,8:00,9:00
Raum 13,2AHITM,9:00,10:00
Raum 10,4AHIF,8:00,9:00
Raum 48,2AHIF,8:00,9:00
